age,health,Health1,Health2,Health3,Health4,Health5,Death
50,1,0.62711784,0.25648503,0.10296081,0.01116329,0.00132817,0.00094486
50,2,0.08464338,0.69190012,0.20400296,0.01606479,0.00249789,0.00089086
50,3,0.00778160,0.15232548,0.73737122,0.08942301,0.00917974,0.00391894
50,4,0.00894182,0.01661241,0.18098220,0.71058665,0.07130394,0.01157298
50,5,0.00255050,0.00351839,0.01612142,0.22844406,0.72018786,0.02917777
50,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
51,1,0.62303351,0.25871930,0.10402950,0.01165255,0.00150170,0.00106343
51,2,0.08259111,0.68990083,0.20682393,0.01699230,0.00269005,0.00100178
51,3,0.00793811,0.15147635,0.73484101,0.09189645,0.00962354,0.00422455
51,4,0.00886418,0.01699757,0.17921933,0.70993609,0.07269705,0.01228578
51,5,0.00248799,0.00372381,0.01668712,0.22704152,0.71918484,0.03087472
51,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
52,1,0.61890382,0.26094269,0.10509707,0.01216185,0.00169771,0.00119686
52,2,0.08057435,0.68778567,0.20964682,0.01797018,0.00289648,0.00112649
52,3,0.00809670,0.15061225,0.73222375,0.09442596,0.01008747,0.00455388
52,4,0.00878633,0.01738994,0.17745603,0.70921577,0.07411003,0.01304190
52,5,0.00242667,0.00394065,0.01727018,0.22561523,0.71808023,0.03266704
52,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
53,1,0.61472641,0.26315304,0.10616262,0.01269185,0.00191908,0.00134701
53,2,0.07859253,0.68555214,0.21246955,0.01900088,0.00311819,0.00126671
53,3,0.00825734,0.14973278,0.72951686,0.09701193,0.01057233,0.00490875
53,4,0.00870828,0.01778954,0.17569205,0.70842351,0.07554273,0.01384390
53,5,0.00236651,0.00416949,0.01787092,0.22416412,0.71686927,0.03455970
53,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
54,1,0.61049863,0.26534796,0.10722518,0.01324325,0.00216902,0.00151597
54,2,0.07664505,0.68319758,0.21528986,0.02008692,0.00335624,0.00142436
54,3,0.00841999,0.14883750,0.72671773,0.09965471,0.01107893,0.00529114
54,4,0.00863001,0.01819639,0.17392715,0.70755703,0.07699495,0.01469448
54,5,0.00230747,0.00441092,0.01848964,0.22268707,0.71554704,0.03655787
54,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
55,1,0.60621752,0.26752483,0.10828365,0.01381672,0.00245119,0.00170608
55,2,0.07473134,0.68071908,0.21810530,0.02123092,0.00361175,0.00160159
55,3,0.00858458,0.14792597,0.72382365,0.10235453,0.01160812,0.00570314
55,4,0.00855150,0.01861050,0.17216106,0.70661398,0.07846646,0.01559650
55,5,0.00224953,0.00466555,0.01912659,0.22118296,0.71410843,0.03866695
55,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
56,1,0.60187981,0.26968075,0.10933683,0.01441295,0.00276966,0.00191999
56,2,0.07285081,0.67811357,0.22091326,0.02243558,0.00388595,0.00180084
56,3,0.00875107,0.14699775,0.72083185,0.10511157,0.01216074,0.00614702
56,4,0.00847274,0.01903186,0.17039353,0.70559191,0.07995700,0.01655296
56,5,0.00219266,0.00493402,0.01978202,0.21965061,0.71254816,0.04089253
56,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
57,1,0.59748181,0.27181248,0.11038339,0.01503262,0.00312904,0.00216067
57,2,0.07100284,0.67537771,0.22371088,0.02370366,0.00418009,0.00202483
57,3,0.00891938,0.14605237,0.71773948,0.10792588,0.01273766,0.00662523
57,4,0.00839372,0.01946048,0.16862426,0.70448827,0.08146626,0.01756702
57,5,0.00213684,0.00521698,0.02045616,0.21808882,0.71086075,0.04324046
57,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
58,1,0.59301941,0.27391649,0.11142183,0.01567637,0.00353447,0.00243144
58,2,0.06918683,0.67250791,0.22649511,0.02503802,0.00449552,0.00227661
58,3,0.00908944,0.14508936,0.71454361,0.11079745,0.01333978,0.00714036
58,4,0.00831441,0.01989632,0.16685297,0.70330041,0.08299385,0.01864203
58,5,0.00208203,0.00551510,0.02114919,0.21649637,0.70904054,0.04571677
58,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
59,1,0.58848807,0.27598881,0.11245049,0.01634485,0.00399173,0.00273604
59,2,0.06740217,0.66950033,0.22926264,0.02644157,0.00483368,0.00255962
59,3,0.00926118,0.14410824,0.71124124,0.11372611,0.01396798,0.00769524
59,4,0.00823482,0.02033934,0.16507936,0.70202559,0.08453938,0.01978151
59,5,0.00202822,0.00582908,0.02186127,0.21487200,0.70708170,0.04832773
59,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
60,1,0.58388270,0.27802508,0.11346753,0.01703867,0.00450732,0.00307869
60,2,0.06564824,0.66635083,0.23200988,0.02791729,0.00519606,0.00287771
60,3,0.00943449,0.14310852,0.70782931,0.11671160,0.01462319,0.00829288
60,4,0.00815491,0.02078949,0.16330314,0.70066095,0.08610237,0.02098914
60,5,0.00197538,0.00615962,0.02259252,0.21321444,0.70497822,0.05107982
60,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
61,1,0.57919768,0.28002043,0.11447091,0.01775839,0.00508849,0.00346411
61,2,0.06392441,0.66305496,0.23473298,0.02946821,0.00558425,0.00323520
61,3,0.00960929,0.14208969,0.70430465,0.11975352,0.01530634,0.00893651
61,4,0.00807468,0.02124670,0.16152398,0.69920353,0.08768229,0.02226882
61,5,0.00192349,0.00650745,0.02334301,0.21152238,0.70272392,0.05397975
61,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
62,1,0.57442673,0.28196948,0.11545833,0.01850453,0.00574335,0.00389758
62,2,0.06223005,0.65960794,0.23742776,0.03109739,0.00599991,0.00363694
62,3,0.00978546,0.14105123,0.70066404,0.12285131,0.01601834,0.00962962
62,4,0.00799410,0.02171089,0.15974157,0.69765025,0.08927854,0.02362464
62,5,0.00187252,0.00687331,0.02411277,0.20979452,0.70031246,0.05703441
62,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
63,1,0.56956292,0.28386622,0.11642726,0.01927755,0.00648099,0.00438506
63,2,0.06056452,0.65600465,0.24008973,0.03280793,0.00644481,0.00408836
63,3,0.00996289,0.13999263,0.69690416,0.12600427,0.01676014,0.01037592
63,4,0.00791316,0.02218196,0.15795556,0.69599795,0.09089048,0.02506089
63,5,0.00182246,0.00725795,0.02490178,0.20802951,0.69773737,0.06025093
63,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
64,1,0.56459858,0.28570401,0.11737485,0.02007783,0.00731153,0.00493320
64,2,0.05892716,0.65223956,0.24271402,0.03460294,0.00692077,0.00459555
64,3,0.01014144,0.13891334,0.69302162,0.12921151,0.01753268,0.01117940
64,4,0.00783184,0.02265978,0.15616563,0.69424331,0.09251735,0.02658208
64,5,0.00177327,0.00766214,0.02570996,0.20622602,0.69499201,0.06363661
64,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
65,1,0.55952521,0.28747546,0.11829796,0.02090563,0.00824626,0.00554948
65,2,0.05731734,0.64830676,0.24529535,0.03648550,0.00742971,0.00516535
65,3,0.01032098,0.13781282,0.68901296,0.13247199,0.01833689,0.01204435
65,4,0.00775013,0.02314421,0.15437142,0.69238294,0.09415837,0.02819294
65,5,0.00172494,0.00808663,0.02653716,0.20438270,0.69206963,0.06719893
65,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
66,1,0.55433345,0.28917234,0.11919307,0.02176113,0.00929774,0.00624227
66,2,0.05573438,0.64419990,0.24782805,0.03845867,0.00797363,0.00580537
66,3,0.01050136,0.13669051,0.68487464,0.13578443,0.01917372,0.01297534
66,4,0.00766799,0.02363509,0.15257257,0.69041330,0.09581263,0.02989842
66,5,0.00167745,0.00853222,0.02738319,0.20249819,0.68896338,0.07094556
66,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
67,1,0.54901298,0.29078555,0.12005627,0.02264434,0.01047992,0.00702094
67,2,0.05417762,0.63991216,0.25030598,0.04052545,0.00855460,0.00652418
67,3,0.01068240,0.13554585,0.68060303,0.13914737,0.02004408,0.01397727
67,4,0.00758543,0.02413222,0.15076873,0.68833075,0.09747918,0.03170370
67,5,0.00163078,0.00899967,0.02824774,0.20057117,0.68566631,0.07488431
67,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
68,1,0.54355246,0.29230499,0.12088322,0.02355512,0.01180825,0.00789596
68,2,0.05264640,0.63543626,0.25272249,0.04268874,0.00917478,0.00733133
68,3,0.01086394,0.13437826,0.67619443,0.14255910,0.02094888,0.01505539
68,4,0.00750240,0.02463539,0.14895952,0.68613153,0.09915695,0.03361420
68,5,0.00158492,0.00948976,0.02913048,0.19860030,0.68217141,0.07902314
68,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
69,1,0.53793945,0.29371945,0.12166909,0.02449311,0.01329984,0.00887906
69,2,0.05114002,0.63076436,0.25507042,0.04495132,0.00983637,0.00823752
69,3,0.01104578,0.13318715,0.67164509,0.14601768,0.02188900,0.01621530
69,4,0.00741891,0.02514437,0.14714457,0.68381178,0.10084478,0.03563560
69,5,0.00153984,0.01000326,0.03003094,0.19658426,0.67847161,0.08337010
69,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
70,1,0.53216033,0.29501653,0.12240853,0.02545773,0.01497354,0.00998334
70,2,0.04965780,0.62588811,0.25734202,0.04731576,0.01054165,0.00925467
70,3,0.01122771,0.13197193,0.66695117,0.14952089,0.02286531,0.01746299
70,4,0.00733491,0.02565887,0.14532350,0.68136749,0.10254142,0.03777380
