age,health,Health1,Health2,Health3,Health4,Health5,Death
50,1,0.77351635,0.20557905,0.01795450,0.00160445,0.00062686,0.00071879
50,2,0.09764588,0.75287458,0.14133509,0.00724300,0.00042567,0.00047578
50,3,0.01203385,0.18106915,0.69117539,0.10634469,0.00814127,0.00123566
50,4,0.00314198,0.02570323,0.20617782,0.67387359,0.08678614,0.00431724
50,5,0.00000193,0.00361086,0.01802070,0.22836552,0.72466816,0.02533282
50,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
51,1,0.76984945,0.20816035,0.01875415,0.00174915,0.00068751,0.00079939
51,2,0.09623238,0.75152624,0.14358929,0.00763544,0.00047753,0.00053911
51,3,0.01193596,0.17964164,0.69088041,0.10772636,0.00843402,0.00138161
51,4,0.00319319,0.02573900,0.20464217,0.67358786,0.08809852,0.00473926
51,5,0.00000238,0.00369237,0.01853791,0.22718951,0.72351452,0.02706331
51,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
52,1,0.76611302,0.21075015,0.01958719,0.00190667,0.00075395,0.00088901
52,2,0.09483035,0.75010913,0.14586560,0.00804837,0.00053567,0.00061087
52,3,0.01183819,0.17821505,0.69054552,0.10911966,0.00873679,0.00154478
52,4,0.00324499,0.02577291,0.20310299,0.67325263,0.08942416,0.00520231
52,5,0.00000294,0.00377518,0.01906721,0.22598711,0.72225906,0.02890850
52,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
53,1,0.76230467,0.21334698,0.02045482,0.00207814,0.00082671,0.00098868
53,2,0.09343957,0.74862117,0.14816345,0.00848280,0.00060083,0.00069217
53,3,0.01174051,0.17678910,0.69016903,0.11052430,0.00904988,0.00172719
53,4,0.00329738,0.02580486,0.20155966,0.67286508,0.09076267,0.00571035
53,5,0.00000363,0.00385926,0.01960865,0.22475687,0.72089608,0.03087551
53,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
54,1,0.75842189,0.21594921,0.02135826,0.00226475,0.00090638,0.00109951
54,2,0.09205982,0.74706011,0.15048217,0.00893978,0.00067384,0.00078429
54,3,0.01164290,0.17536344,0.68974906,0.11193992,0.00937360,0.00193109
54,4,0.00335034,0.02583471,0.20001152,0.67242215,0.09211359,0.00626769
54,5,0.00000447,0.00394458,0.02016221,0.22349729,0.71941964,0.03297181
54,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
55,1,0.75446201,0.21855512,0.02229873,0.00246780,0.00099360,0.00122274
55,2,0.09069084,0.74542347,0.15282102,0.00942037,0.00075565,0.00088865
55,3,0.01154533,0.17393773,0.68928354,0.11336614,0.00970825,0.00215902
55,4,0.00340385,0.02586232,0.19845785,0.67192051,0.09347641,0.00687905
55,5,0.00000552,0.00403109,0.02072786,0.22220677,0.71782349,0.03520527
55,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
56,1,0.75042216,0.22116281,0.02327749,0.00268870,0.00108907,0.00135977
56,2,0.08933240,0.74370858,0.15517915,0.00992571,0.00084729,0.00100689
56,3,0.01144778,0.17251155,0.68877023,0.11480252,0.01005414,0.00241378
56,4,0.00345790,0.02588755,0.19689786,0.67135657,0.09485054,0.00754959
56,5,0.00000680,0.00411875,0.02130551,0.22088368,0.71610112,0.03758414
56,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
57,1,0.74629931,0.22377025,0.02429581,0.00292895,0.00119354,0.00151213
57,2,0.08798420,0.74191249,0.15755558,0.01045695,0.00094994,0.00114083
57,3,0.01135021,0.17108448,0.68820665,0.11624854,0.01041160,0.00269852
57,4,0.00351245,0.02591022,0.19533070,0.67072638,0.09623530,0.00828494
57,5,0.00000838,0.00420752,0.02189505,0.21952629,0.71424568,0.04011707
57,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
58,1,0.74209024,0.22637521,0.02535496,0.00319021,0.00130785,0.00168154
58,2,0.08664597,0.74003202,0.15994923,0.01101531,0.00106490,0.00129258
58,3,0.01125261,0.16965602,0.68759008,0.11770362,0.01078092,0.00301674
58,4,0.00356748,0.02593016,0.19375547,0.67002570,0.09762992,0.00909127
58,5,0.00001033,0.00429732,0.02249633,0.21813285,0.71225006,0.04281311
58,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
59,1,0.73779149,0.22897530,0.02645621,0.00347424,0.00143288,0.00186988
59,2,0.08531737,0.73806365,0.16235886,0.01160202,0.00119362,0.00146448
59,3,0.01115492,0.16822565,0.68691751,0.11916711,0.01116243,0.00337237
59,4,0.00362297,0.02594718,0.19217115,0.66924991,0.09903352,0.00997528
59,5,0.00001273,0.00438809,0.02310914,0.21670150,0.71010683,0.04568172
59,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
60,1,0.73339940,0.23156792,0.02760084,0.00378294,0.00156961,0.00207928
60,2,0.08399808,0.73600354,0.16478307,0.01221838,0.00133772,0.00165920
60,3,0.01105712,0.16679276,0.68618567,0.12063825,0.01155643,0.00376977
60,4,0.00367887,0.02596106,0.19057668,0.66839397,0.10044512,0.01094430
60,5,0.00001568,0.00447975,0.02373321,0.21523035,0.70780827,0.04873274
60,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
61,1,0.72891006,0.23415026,0.02879012,0.00411838,0.00171910,0.00231208
61,2,0.08268774,0.73384748,0.16722031,0.01286569,0.00149902,0.00187976
61,3,0.01095916,0.16535671,0.68539090,0.12211621,0.01196322,0.00421379
61,4,0.00373515,0.02597157,0.18897091,0.66745244,0.10186362,0.01200631
61,5,0.00001931,0.00457222,0.02436824,0.21371744,0.70534635,0.05197644
61,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
62,1,0.72431931,0.23671927,0.03002531,0.00448276,0.00188248,0.00257087
62,2,0.08138594,0.73159083,0.16966881,0.01354532,0.00167951,0.00212959
62,3,0.01086099,0.16391678,0.68452923,0.12360003,0.01238311,0.00470987
62,4,0.00379176,0.02597847,0.18735257,0.66641943,0.10328776,0.01317000
62,5,0.00002377,0.00466541,0.02501384,0.21216074,0.70271277,0.05542347
62,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
63,1,0.71962269,0.23927165,0.03130762,0.00487847,0.00206102,0.00285855
63,2,0.08009227,0.72922852,0.17212658,0.01425865,0.00188145,0.00241253
63,3,0.01076255,0.16247218,0.68359623,0.12508863,0.01281637,0.00526404
63,4,0.00384866,0.02598149,0.18572031,0.66528854,0.10471616,0.01444483
63,5,0.00002925,0.00475920,0.02566958,0.21055820,0.69989892,0.05908485
63,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
64,1,0.71481549,0.24180384,0.03263826,0.00530806,0.00225604,0.00317832
64,2,0.07880627,0.72675496,0.17459139,0.01500710,0.00210732,0.00273296
64,3,0.01066380,0.16102205,0.68258705,0.12658079,0.01326329,0.00588302
64,4,0.00390578,0.02598034,0.18407270,0.66405285,0.10614725,0.01584109
64,5,0.00003600,0.00485348,0.02633493,0.20890769,0.69689593,0.06297198
64,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
65,1,0.70989265,0.24431198,0.03401837,0.00577428,0.00246899,0.00353373
65,2,0.07752745,0.72416400,0.17706075,0.01579208,0.00235990,0.00309582
65,3,0.01056467,0.15956541,0.68149633,0.12807515,0.01372412,0.00657432
65,4,0.00396306,0.02597469,0.18240816,0.66270486,0.10757930,0.01736993
65,5,0.00004428,0.00494812,0.02700930,0.20720703,0.69369466,0.06709660
65,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
66,1,0.70484880,0.24679190,0.03544905,0.00628007,0.00270146,0.00392872
66,2,0.07625529,0.72144888,0.17953183,0.01661505,0.00264226,0.00350669
66,3,0.01046509,0.15810123,0.68031817,0.12957016,0.01419911,0.00734624
