age,health,Health1,Health2,Health3,Health4,Health5,Death
50,1,0.69334941,0.21611142,0.06275580,0.02262226,0.00161656,0.00354453
50,2,0.09197492,0.64734869,0.23676828,0.02133552,0.00056695,0.00200564
50,3,0.01801202,0.15237094,0.67595781,0.14420602,0.00538796,0.00406525
50,4,0.01234346,0.02023229,0.19758971,0.65271336,0.10377046,0.01335072
50,5,0.00049860,0.04911477,0.00935638,0.26739347,0.62655675,0.04708004
50,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
51,1,0.68815642,0.21919039,0.06353894,0.02348494,0.00180485,0.00382447
51,2,0.09118750,0.64701596,0.23632491,0.02261250,0.00065238,0.00220676
51,3,0.01808496,0.15169190,0.67487906,0.14510375,0.00575596,0.00448437
51,4,0.01220707,0.02090115,0.19548728,0.65327168,0.10379125,0.01434157
51,5,0.00055811,0.04697421,0.00972053,0.26475613,0.62850375,0.04948726
51,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
52,1,0.68288618,0.22227541,0.06432091,0.02437636,0.00201472,0.00412642
52,2,0.09039620,0.64660745,0.23585467,0.02396308,0.00075060,0.00242800
52,3,0.01815675,0.15100394,0.67374871,0.14599551,0.00614860,0.00494648
52,4,0.01207073,0.02158951,0.19338388,0.65375155,0.10379952,0.01540481
52,5,0.00062455,0.04491449,0.01009605,0.26207211,0.63028195,0.05201085
52,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
53,1,0.67753694,0.22536416,0.06510104,0.02529716,0.00224860,0.00445210
53,2,0.08960048,0.64611780,0.23535571,0.02539114,0.00086350,0.00267136
53,3,0.01822728,0.15030627,0.67256282,0.14688021,0.00656747,0.00545595
53,4,0.01193441,0.02229771,0.19127885,0.65414885,0.10379463,0.01654555
53,5,0.00069871,0.04293298,0.01048313,0.25934224,0.63188720,0.05465573
53,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
54,1,0.67210683,0.22845409,0.06587860,0.02624795,0.00250917,0.00480337
54,2,0.08879976,0.64554123,0.23482606,0.02690066,0.00099325,0.00293904
54,3,0.01829640,0.14959802,0.67131712,0.14775665,0.00701423,0.00601758
