age,health,Health1,Health2,Health3,Health4,Health5,Death
50,1,0.71971140,0.24140755,0.03069593,0.00556335,0.00177871,0.00084307
50,2,0.10466543,0.73365217,0.14688327,0.01324167,0.00061972,0.00093774
50,3,0.01319829,0.17978157,0.69861517,0.09598414,0.00960918,0.00281165
50,4,0.00519616,0.02220796,0.22861267,0.64932320,0.08309494,0.01156507
50,5,0.00890269,0.00422090,0.02278265,0.22409040,0.69783934,0.04216403
50,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
51,1,0.71766634,0.24217551,0.03149071,0.00584495,0.00187625,0.00094622
51,2,0.10318038,0.73219441,0.14919998,0.01368605,0.00068742,0.00105176
51,3,0.01316701,0.17822596,0.69763187,0.09795898,0.00991693,0.00309925
51,4,0.00524640,0.02230083,0.22671597,0.64890353,0.08442608,0.01240719
51,5,0.00832883,0.00430769,0.02315311,0.22201328,0.69729470,0.04490238
51,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
52,1,0.71558337,0.24293108,0.03230411,0.00614044,0.00197902,0.00106198
52,2,0.10170657,0.73066884,0.15153856,0.01414398,0.00076243,0.00117962
52,3,0.01313457,0.17666703,0.69658374,0.09996495,0.01023356,0.00341616
52,4,0.00529659,0.02239184,0.22481253,0.64841928,0.08576996,0.01330980
52,5,0.00779005,0.00439520,0.02352382,0.21990151,0.69657972,0.04780970
52,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
53,1,0.71346064,0.24367336,0.03313638,0.00645045,0.00208729,0.00119188
53,2,0.10024377,0.72907350,0.15389840,0.01461576,0.00084555,0.00132301
53,3,0.01310090,0.17510437,0.69546825,0.10200189,0.01055924,0.00376535
53,4,0.00534671,0.02248087,0.22290170,0.64786749,0.08712610,0.01427713
53,5,0.00728426,0.00448334,0.02389439,0.21775439,0.69568838,0.05089523
53,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
54,1,0.71129617,0.24440140,0.03398780,0.00677565,0.00220133,0.00133765
54,2,0.09879178,0.72740627,0.15627880,0.01510172,0.00093763,0.00148381
54,3,0.01306597,0.17353756,0.69428265,0.10406955,0.01089417,0.00415009
