age,health,Health1,Health2,Death
50,1,0.94119604,0.05658524,0.00221872
50,2,0.14226052,0.84109824,0.01664124
50,0,0.00000000,0.00000000,1.00000000
51,1,0.93870310,0.05886668,0.00243022
51,2,0.14193784,0.84039001,0.01767215
51,0,0.00000000,0.00000000,1.00000000
52,1,0.93610537,0.06123281,0.00266182
52,2,0.14160666,0.83962763,0.01876571
52,0,0.00000000,0.00000000,1.00000000
53,1,0.93339845,0.06368611,0.00291543
53,2,0.14126648,0.83880795,0.01992556
53,0,0.00000000,0.00000000,1.00000000
54,1,0.93057782,0.06622905,0.00319313
54,2,0.14091680,0.83792765,0.02115556
54,0,0.00000000,0.00000000,1.00000000
55,1,0.92763871,0.06886411,0.00349719
55,2,0.14055705,0.83698321,0.02245974
55,0,0.00000000,0.00000000,1.00000000
56,1,0.92457619,0.07159372,0.00383008
56,2,0.14018667,0.83597097,0.02384236
56,0,0.00000000,0.00000000,1.00000000
57,1,0.92138513,0.07442034,0.00419453
57,2,0.13980506,0.83488704,0.02530789
57,0,0.00000000,0.00000000,1.00000000
58,1,0.91806016,0.07734634,0.00459350
58,2,0.13941159,0.83372738,0.02686103
58,0,0.00000000,0.00000000,1.00000000
59,1,0.91459570,0.08037407,0.00503023
59,2,0.13900560,0.83248770,0.02850669
59,0,0.00000000,0.00000000,1.00000000
60,1,0.91098594,0.08350581,0.00550825
60,2,0.13858640,0.83116355,0.03025005
60,0,0.00000000,0.00000000,1.00000000
61,1,0.90722484,0.08674374,0.00603142
61,2,0.13815327,0.82975024,0.03209649
61,0,0.00000000,0.00000000,1.00000000
62,1,0.90330610,0.09008995,0.00660395
62,2,0.13770545,0.82824286,0.03405169
62,0,0.00000000,0.00000000,1.00000000
63,1,0.89922317,0.09354640,0.00723043
63,2,0.13724216,0.82663630,0.03612154
63,0,0.00000000,0.00000000,1.00000000
64,1,0.89496922,0.09711491,0.00791587
64,2,0.13676258,0.82492520,0.03831223
64,0,0.00000000,0.00000000,1.00000000
65,1,0.89053718,0.10079711,0.00866572
65,2,0.13626586,0.82310398,0.04063017
65,0,0.00000000,0.00000000,1.00000000
66,1,0.88591965,0.10459442,0.00948592
66,2,0.13575111,0.82116683,0.04308206
66,0,0.00000000,0.00000000,1.00000000
67,1,0.88110899,0.10850807,0.01038294
67,2,0.13521742,0.81910770,0.04567488
67,0,0.00000000,0.00000000,1.00000000
68,1,0.87609722,0.11253896,0.01136382
68,2,0.13466384,0.81692032,0.04841584
68,0,0.00000000,0.00000000,1.00000000
69,1,0.87087609,0.11668772,0.01243619
69,2,0.13408938,0.81459818,0.05131245
69,0,0.00000000,0.00000000,1.00000000
70,1,0.86543701,0.12095462,0.01360837
70,2,0.13349302,0.81213453,0.05437245
70,0,0.00000000,0.00000000,1.00000000
71,1,0.85977112,0.12533952,0.01488936
71,2,0.13287373,0.80952242,0.05760385
71,0,0.00000000,0.00000000,1.00000000
72,1,0.85386919,0.12984186,0.01628895
72,2,0.13223042,0.80675467,0.06101491
72,0,0.00000000,0.00000000,1.00000000
73,1,0.84772173,0.13446055,0.01781772
73,2,0.13156199,0.80382390,0.06461410
73,0,0.00000000,0.00000000,1.00000000
74,1,0.84131891,0.13919397,0.01948712
74,2,0.13086732,0.80072253,0.06841015
74,0,0.00000000,0.00000000,1.00000000
75,1,0.83465060,0.14403985,0.02130955
75,2,0.13014526,0.79744280,0.07241194
75,0,0.00000000,0.00000000,1.00000000
76,1,0.82770639,0.14899526,0.02329835
76,2,0.12939464,0.79397680,0.07662857
76,0,0.00000000,0.00000000,1.00000000
77,1,0.82047557,0.15405649,0.02546794
77,2,0.12861427,0.79031646,0.08106927
77,0,0.00000000,0.00000000,1.00000000
78,1,0.81294719,0.15921900,0.02783381
78,2,0.12780295,0.78645362,0.08574343
78,0,0.00000000,0.00000000,1.00000000
79,1,0.80511009,0.16447732,0.03041260
