age,health,Health1,Health2,Death
50,1,0.96337841,0.03593379,0.00068780
50,2,0.15521077,0.83406065,0.01072858
50,0,0.00000000,0.00000000,1.00000000
51,1,0.96194079,0.03728291,0.00077630
51,2,0.15460689,0.83379539,0.01159771
51,0,0.00000000,0.00000000,1.00000000
52,1,0.96044362,0.03868020,0.00087617
52,2,0.15399414,0.83346950,0.01253636
52,0,0.00000000,0.00000000,1.00000000
53,1,0.95888397,0.04012715,0.00098888
53,2,0.15337177,0.83307829,0.01354994
53,0,0.00000000,0.00000000,1.00000000
54,1,0.95725867,0.04162526,0.00111608
54,2,0.15273899,0.83261677,0.01464425
54,0,0.00000000,0.00000000,1.00000000
55,1,0.95556434,0.04317605,0.00125961
55,2,0.15209493,0.83207956,0.01582551
55,0,0.00000000,0.00000000,1.00000000
56,1,0.95379735,0.04478107,0.00142157
56,2,0.15143869,0.83146090,0.01710041
56,0,0.00000000,0.00000000,1.00000000
57,1,0.95195380,0.04644186,0.00160433
57,2,0.15076929,0.83075461,0.01847609
57,0,0.00000000,0.00000000,1.00000000
58,1,0.95002949,0.04815997,0.00181054
58,2,0.15008571,0.82995410,0.01996019
58,0,0.00000000,0.00000000,1.00000000
59,1,0.94801985,0.04993694,0.00204321
59,2,0.14938683,0.82905228,0.02156089
59,0,0.00000000,0.00000000,1.00000000
60,1,0.94592000,0.05177431,0.00230570
60,2,0.14867149,0.82804161,0.02328690
60,0,0.00000000,0.00000000,1.00000000
61,1,0.94372460,0.05367358,0.00260182
61,2,0.14793844,0.82691404,0.02514753
61,0,0.00000000,0.00000000,1.00000000
62,1,0.94142790,0.05563623,0.00293586
62,2,0.14718635,0.82566096,0.02715269
62,0,0.00000000,0.00000000,1.00000000
63,1,0.93902364,0.05766371,0.00331265
63,2,0.14641384,0.82427324,0.02931292
63,0,0.00000000,0.00000000,1.00000000
64,1,0.93650501,0.05975737,0.00373762
64,2,0.14561941,0.82274115,0.03163944
64,0,0.00000000,0.00000000,1.00000000
65,1,0.93386459,0.06191854,0.00421687
65,2,0.14480151,0.82105438,0.03414411
65,0,0.00000000,0.00000000,1.00000000
66,1,0.93109432,0.06414840,0.00475728
66,2,0.14395850,0.81920199,0.03683951
66,0,0.00000000,0.00000000,1.00000000
67,1,0.92818537,0.06644805,0.00536657
67,2,0.14308864,0.81717242,0.03973894
67,0,0.00000000,0.00000000,1.00000000
68,1,0.92512814,0.06881844,0.00605343
68,2,0.14219011,0.81495347,0.04285642
68,0,0.00000000,0.00000000,1.00000000
69,1,0.92191209,0.07126033,0.00682759
69,2,0.14126102,0.81253230,0.04620668
69,0,0.00000000,0.00000000,1.00000000
70,1,0.91852573,0.07377428,0.00769998
70,2,0.14029938,0.80989539,0.04980523
70,0,0.00000000,0.00000000,1.00000000
71,1,0.91495650,0.07636063,0.00868287
71,2,0.13930314,0.80702861,0.05366826
71,0,0.00000000,0.00000000,1.00000000
72,1,0.91119062,0.07901939,0.00979000
72,2,0.13827014,0.80391718,0.05781268
72,0,0.00000000,0.00000000,1.00000000
73,1,0.90721304,0.08175025,0.01103671
73,2,0.13719819,0.80054572,0.06225609
73,0,0.00000000,0.00000000,1.00000000
74,1,0.90300731,0.08455250,0.01244019
74,2,0.13608500,0.79689827,0.06701673
74,0,0.00000000,0.00000000,1.00000000
75,1,0.89855542,0.08742496,0.01401962
75,2,0.13492824,0.79295834,0.07211341
75,0,0.00000000,0.00000000,1.00000000
76,1,0.89383773,0.09036591,0.01579636
76,2,0.13372555,0.78870897,0.07756548
76,0,0.00000000,0.00000000,1.00000000
77,1,0.88883277,0.09337302,0.01779421
77,2,0.13247452,0.78413278,0.08339270
77,0,0.00000000,0.00000000,1.00000000
78,1,0.88351718,0.09644322,0.02003960
78,2,0.13117273,0.77921211,0.08961516
78,0,0.00000000,0.00000000,1.00000000
79,1,0.87786553,0.09957265,0.02256182
79,2,0.12981778,0.77392906,0.09625317
79,0,0.00000000,0.00000000,1.00000000
80,1,0.87185023,0.10275651,0.02539326
80,2,0.12840726,0.76826568,0.10332706
80,0,0.00000000,0.00000000,1.00000000
81,1,0.86544142,0.10598893,0.02856965
81,2,0.12693885,0.76220409,0.11085706
81,0,0.00000000,0.00000000,1.00000000
82,1,0.85860687,0.10926286,0.03213027
82,2,0.12541028,0.75572665,0.11886307
82,0,0.00000000,0.00000000,1.00000000
83,1,0.85131194,0.11256991,0.03611815
83,2,0.12381941,0.74881614,0.12736445
83,0,0.00000000,0.00000000,1.00000000
84,1,0.84351958,0.11590019,0.04058023
84,2,0.12216423,0.74145602,0.13637976
84,0,0.00000000,0.00000000,1.00000000
85,1,0.83519033,0.11924215,0.04556751
85,2,0.12044291,0.73363061,0.14592649
85,0,0.00000000,0.00000000,1.00000000
86,1,0.82628250,0.12258245,0.05113505
86,2,0.11865384,0.72532539,0.15602077
86,0,0.00000000,0.00000000,1.00000000
87,1,0.81675229,0.12590572,0.05734198
87,2,0.11679568,0.71652728,0.16667703
87,0,0.00000000,0.00000000,1.00000000
88,1,0.80655418,0.12919450,0.06425131
88,2,0.11486738,0.70722491,0.17790771
88,0,0.00000000,0.00000000,1.00000000
89,1,0.79564133,0.13242903,0.07192964
89,2,0.11286826,0.69740893,0.18972282
89,0,0.00000000,0.00000000,1.00000000
90,1,0.78396616,0.13558716,0.08044668
90,2,0.11079800,0.68707234,0.20212966
90,0,0.00000000,0.00000000,1.00000000
91,1,0.77148117,0.13864428,0.08987455
91,2,0.10865674,0.67621082,0.21513243
91,0,0.00000000,0.00000000,1.00000000
92,1,0.75813990,0.14157330,0.10028680
92,2,0.10644512,0.66482302,0.22873186
92,0,0.00000000,0.00000000,1.00000000
93,1,0.74389809,0.14434469,0.11175722
93,2,0.10416426,0.65291085,0.24292489
93,0,0.00000000,0.00000000,1.00000000
94,1,0.72871512,0.14692664,0.12435825
94,2,0.10181585,0.64047981,0.25770434
94,0,0.00000000,0.00000000,1.00000000
95,1,0.71255565,0.14928526,0.13815909
95,2,0.09940218,0.62753916,0.27305866
95,0,0.00000000,0.00000000,1.00000000
96,1,0.69539149,0.15138501,0.15322350
96,2,0.09692613,0.61410220,0.28897167
96,0,0.00000000,0.00000000,1.00000000
97,1,0.67720358,0.15318920,0.16960723
97,2,0.09439120,0.60018639,0.30542241
97,0,0.00000000,0.00000000,1.00000000
98,1,0.65798418,0.15466061,0.18735521
98,2,0.09180151,0.58581345,0.32238504
98,0,0.00000000,0.00000000,1.00000000
99,1,0.63773905,0.15576241,0.20649854
99,2,0.08916180,0.57100936,0.33982883
99,0,0.00000000,0.00000000,1.00000000
