age,health,Health1,Health2,Death
50,1,0.92550026,0.07152510,0.00297464
50,2,0.16142831,0.81505180,0.02351988
50,0,0.00000000,0.00000000,1.00000000
51,1,0.92296708,0.07375614,0.00327679
51,2,0.16093628,0.81404895,0.02501476
51,0,0.00000000,0.00000000,1.00000000
52,1,0.92034190,0.07604859,0.00360951
52,2,0.16043007,0.81296787,0.02660207
52,0,0.00000000,0.00000000,1.00000000
53,1,0.91762066,0.07840345,0.00397589
53,2,0.15990885,0.81180398,0.02828717
53,0,0.00000000,0.00000000,1.00000000
54,1,0.91479906,0.08082164,0.00437930
54,2,0.15937178,0.81055250,0.03007572
54,0,0.00000000,0.00000000,1.00000000
55,1,0.91187252,0.08330405,0.00482343
55,2,0.15881796,0.80920841,0.03197363
55,0,0.00000000,0.00000000,1.00000000
56,1,0.90883619,0.08585144,0.00531237
56,2,0.15824645,0.80776644,0.03398711
56,0,0.00000000,0.00000000,1.00000000
57,1,0.90568490,0.08846452,0.00585059
57,2,0.15765628,0.80622107,0.03612266
57,0,0.00000000,0.00000000,1.00000000
58,1,0.90241317,0.09114386,0.00644297
58,2,0.15704642,0.80456653,0.03838706
58,0,0.00000000,0.00000000,1.00000000
59,1,0.89901516,0.09388993,0.00709491
59,2,0.15641581,0.80279679,0.04078740
59,0,0.00000000,0.00000000,1.00000000
60,1,0.89548466,0.09670304,0.00781229
60,2,0.15576335,0.80090558,0.04333107
60,0,0.00000000,0.00000000,1.00000000
61,1,0.89181505,0.09958336,0.00860159
61,2,0.15508790,0.79888635,0.04602576
61,0,0.00000000,0.00000000,1.00000000
62,1,0.88799927,0.10253086,0.00946987
62,2,0.15438826,0.79673228,0.04887947
62,0,0.00000000,0.00000000,1.00000000
63,1,0.88402982,0.10554531,0.01042487
63,2,0.15366320,0.79443631,0.05190049
63,0,0.00000000,0.00000000,1.00000000
64,1,0.87989871,0.10862623,0.01147507
64,2,0.15291147,0.79199113,0.05509740
64,0,0.00000000,0.00000000,1.00000000
65,1,0.87559740,0.11177289,0.01262971
65,2,0.15213175,0.78938916,0.05847910
65,0,0.00000000,0.00000000,1.00000000
66,1,0.87111683,0.11498427,0.01389890
66,2,0.15132269,0.78662259,0.06205471
66,0,0.00000000,0.00000000,1.00000000
67,1,0.86644734,0.11825900,0.01529366
67,2,0.15048293,0.78368340,0.06583367
67,0,0.00000000,0.00000000,1.00000000
68,1,0.86157866,0.12159535,0.01682600
68,2,0.14961105,0.78056332,0.06982563
68,0,0.00000000,0.00000000,1.00000000
69,1,0.85649985,0.12499117,0.01850898
69,2,0.14870563,0.77725392,0.07404045
69,0,0.00000000,0.00000000,1.00000000
70,1,0.85119934,0.12844385,0.02035681
70,2,0.14776520,0.77374657,0.07848823
70,0,0.00000000,0.00000000,1.00000000
71,1,0.84566481,0.13195027,0.02238492
71,2,0.14678830,0.77003251,0.08317920
71,0,0.00000000,0.00000000,1.00000000
72,1,0.83988324,0.13550676,0.02461000
72,2,0.14577344,0.76610285,0.08812371
72,0,0.00000000,0.00000000,1.00000000
73,1,0.83384087,0.13910900,0.02705014
73,2,0.14471914,0.76194864,0.09333223
73,0,0.00000000,0.00000000,1.00000000
74,1,0.82752315,0.14275200,0.02972485
74,2,0.14362391,0.75756086,0.09881523
74,0,0.00000000,0.00000000,1.00000000
75,1,0.82091482,0.14643003,0.03265515
75,2,0.14248629,0.75293053,0.10458319
75,0,0.00000000,0.00000000,1.00000000
76,1,0.81399982,0.15013653,0.03586366
76,2,0.14130482,0.74804869,0.11064649
76,0,0.00000000,0.00000000,1.00000000
77,1,0.80676137,0.15386405,0.03937458
77,2,0.14007809,0.74290652,0.11701538
77,0,0.00000000,0.00000000,1.00000000
78,1,0.79918201,0.15760419,0.04321380
78,2,0.13880474,0.73749538,0.12369988
78,0,0.00000000,0.00000000,1.00000000
79,1,0.79124360,0.16134751,0.04740889
79,2,0.13748345,0.73180685,0.13070971
79,0,0.00000000,0.00000000,1.00000000
80,1,0.78292743,0.16508347,0.05198910
80,2,0.13611297,0.72583285,0.13805418
80,0,0.00000000,0.00000000,1.00000000
81,1,0.77421434,0.16880033,0.05698534
81,2,0.13469215,0.71956570,0.14574215
81,0,0.00000000,0.00000000,1.00000000
82,1,0.76508478,0.17248512,0.06243010
82,2,0.13321993,0.71299820,0.15378187
82,0,0.00000000,0.00000000,1.00000000
83,1,0.75551904,0.17612358,0.06835738
83,2,0.13169538,0.70612374,0.16218088
83,0,0.00000000,0.00000000,1.00000000
84,1,0.74549742,0.17970006,0.07480252
84,2,0.13011768,0.69893636,0.17094596
84,0,0.00000000,0.00000000,1.00000000
85,1,0.73500045,0.18319756,0.08180199
85,2,0.12848618,0.69143090,0.18008292
85,0,0.00000000,0.00000000,1.00000000
86,1,0.72400921,0.18659766,0.08939313
86,2,0.12680038,0.68360306,0.18959656
86,0,0.00000000,0.00000000,1.00000000
87,1,0.71250565,0.18988052,0.09761383
87,2,0.12505999,0.67544949,0.19949052
87,0,0.00000000,0.00000000,1.00000000
88,1,0.70047294,0.19302496,0.10650210
88,2,0.12326490,0.66696796,0.20976714
88,0,0.00000000,0.00000000,1.00000000
89,1,0.68789595,0.19600848,0.11609557
89,2,0.12141523,0.65815739,0.22042738
89,0,0.00000000,0.00000000,1.00000000
90,1,0.67476169,0.19880739,0.12643092
90,2,0.11951133,0.64901798,0.23147068
