age,health,Health1,Health2,Death
50,1,0.95885723,0.03967942,0.00146335
50,2,0.17437514,0.80434671,0.02127815
50,0,0.00000000,0.00000000,1.00000000
51,1,0.95720823,0.04116024,0.00163153
51,2,0.17333940,0.80392395,0.02273664
51,0,0.00000000,0.00000000,1.00000000
52,1,0.95548799,0.04269301,0.00181900
52,2,0.17229148,0.80341589,0.02429263
52,0,0.00000000,0.00000000,1.00000000
53,1,0.95369279,0.04427923,0.00202798
53,2,0.17123050,0.80281723,0.02595227
53,0,0.00000000,0.00000000,1.00000000
54,1,0.95181867,0.04592042,0.00226091
54,2,0.17015555,0.80212238,0.02772207
54,0,0.00000000,0.00000000,1.00000000
55,1,0.94986139,0.04761809,0.00252053
55,2,0.16906568,0.80132542,0.02960889
55,0,0.00000000,0.00000000,1.00000000
56,1,0.94781640,0.04937374,0.00280987
56,2,0.16795990,0.80042014,0.03161996
56,0,0.00000000,0.00000000,1.00000000
57,1,0.94567881,0.05118887,0.00313232
57,2,0.16683716,0.79939997,0.03376287
57,0,0.00000000,0.00000000,1.00000000
58,1,0.94344340,0.05306495,0.00349165
58,2,0.16569637,0.79825802,0.03604561
58,0,0.00000000,0.00000000,1.00000000
59,1,0.94110453,0.05500344,0.00389204
59,2,0.16453641,0.79698706,0.03847653
59,0,0.00000000,0.00000000,1.00000000
60,1,0.93865613,0.05700574,0.00433814
60,2,0.16335611,0.79557948,0.04106441
60,0,0.00000000,0.00000000,1.00000000
61,1,0.93609168,0.05907320,0.00483512
61,2,0.16215424,0.79402734,0.04381842
61,0,0.00000000,0.00000000,1.00000000
62,1,0.93340416,0.06120711,0.00538873
62,2,0.16092955,0.79232233,0.04674812
62,0,0.00000000,0.00000000,1.00000000
63,1,0.93058597,0.06340868,0.00600534
63,2,0.15968074,0.79045577,0.04986348
63,0,0.00000000,0.00000000,1.00000000
64,1,0.92762895,0.06567901,0.00669204
64,2,0.15840647,0.78841865,0.05317488
64,0,0.00000000,0.00000000,1.00000000
65,1,0.92452426,0.06801907,0.00745667
65,2,0.15710535,0.78620158,0.05669307
65,0,0.00000000,0.00000000,1.00000000
66,1,0.92126238,0.07042969,0.00830794
66,2,0.15577599,0.78379484,0.06042917
66,0,0.00000000,0.00000000,1.00000000
67,1,0.91783300,0.07291152,0.00925548
67,2,0.15441695,0.78118838,0.06439467
67,0,0.00000000,0.00000000,1.00000000
68,1,0.91422502,0.07546502,0.01030996
68,2,0.15302675,0.77837185,0.06860140
68,0,0.00000000,0.00000000,1.00000000
69,1,0.91042643,0.07809037,0.01148320
69,2,0.15160393,0.77533459,0.07306148
69,0,0.00000000,0.00000000,1.00000000
70,1,0.90642427,0.08078751,0.01278822
70,2,0.15014698,0.77206570,0.07778732
70,0,0.00000000,0.00000000,1.00000000
71,1,0.90220457,0.08355603,0.01423941
71,2,0.14865441,0.76855405,0.08279153
71,0,0.00000000,0.00000000,1.00000000
72,1,0.89775222,0.08639514,0.01585264
72,2,0.14712474,0.76478834,0.08808693
72,0,0.00000000,0.00000000,1.00000000
73,1,0.89305100,0.08930364,0.01764536
73,2,0.14555647,0.76075711,0.09368642
73,0,0.00000000,0.00000000,1.00000000
74,1,0.88808342,0.09227981,0.01963677
74,2,0.14394816,0.75644885,0.09960299
74,0,0.00000000,0.00000000,1.00000000
75,1,0.88283067,0.09532140,0.02184793
75,2,0.14229839,0.75185204,0.10584956
75,0,0.00000000,0.00000000,1.00000000
76,1,0.87727260,0.09842550,0.02430190
76,2,0.14060580,0.74695523,0.11243897
76,0,0.00000000,0.00000000,1.00000000
77,1,0.87138762,0.10158850,0.02702388
77,2,0.13886908,0.74174710,0.11938382
77,0,0.00000000,0.00000000,1.00000000
78,1,0.86515268,0.10480596,0.03004136
78,2,0.13708703,0.73621659,0.12669638
78,0,0.00000000,0.00000000,1.00000000
79,1,0.85854323,0.10807256,0.03338421
79,2,0.13525852,0.73035298,0.13438850
79,0,0.00000000,0.00000000,1.00000000
80,1,0.85153321,0.11138198,0.03708481
80,2,0.13338255,0.72414600,0.14247145
80,0,0.00000000,0.00000000,1.00000000
81,1,0.84409508,0.11472677,0.04117815
81,2,0.13145826,0.71758597,0.15095577
81,0,0.00000000,0.00000000,1.00000000
82,1,0.83619987,0.11809828,0.04570185
82,2,0.12948493,0.71066390,0.15985116
82,0,0.00000000,0.00000000,1.00000000
83,1,0.82781726,0.12148650,0.05069624
83,2,0.12746205,0.70337166,0.16916629
83,0,0.00000000,0.00000000,1.00000000
84,1,0.81891574,0.12487998,0.05620428
84,2,0.12538927,0.69570207,0.17890866
84,0,0.00000000,0.00000000,1.00000000
85,1,0.80946279,0.12826571,0.06227150
85,2,0.12326649,0.68764911,0.18908440
85,0,0.00000000,0.00000000,1.00000000
86,1,0.79942518,0.13162899,0.06894583
86,2,0.12109383,0.67920803,0.19969814
86,0,0.00000000,0.00000000,1.00000000
87,1,0.78876928,0.13495339,0.07627733
87,2,0.11887168,0.67037551,0.21075282
87,0,0.00000000,0.00000000,1.00000000
88,1,0.77746155,0.13822060,0.08431784
88,2,0.11660070,0.66114979,0.22224951
88,0,0.00000000,0.00000000,1.00000000
89,1,0.76546906,0.14141047,0.09312047
89,2,0.11428187,0.65153087,0.23418725
89,0,0.00000000,0.00000000,1.00000000
90,1,0.75276011,0.14450092,0.10273897
90,2,0.11191647,0.64152059,0.24656294
90,0,0.00000000,0.00000000,1.00000000
91,1,0.73930508,0.14746799,0.11322693
91,2,0.10950610,0.63112278,0.25937112
91,0,0.00000000,0.00000000,1.00000000
92,1,0.72507723,0.15028595,0.12463682
92,2,0.10705271,0.62034338,0.27260392
92,0,0.00000000,0.00000000,1.00000000
93,1,0.71005374,0.15292744,0.13701883
93,2,0.10455859,0.60919052,0.28625090
93,0,0.00000000,0.00000000,1.00000000
94,1,0.69421681,0.15536364,0.15041955
94,2,0.10202637,0.59767461,0.30029902
94,0,0.00000000,0.00000000,1.00000000
95,1,0.67755487,0.15756465,0.16488048
95,2,0.09945904,0.58580839,0.31473257
95,0,0.00000000,0.00000000,1.00000000
96,1,0.66006377,0.15949985,0.18043638
96,2,0.09685993,0.57360695,0.32953313
96,0,0.00000000,0.00000000,1.00000000
97,1,0.64174808,0.16113840,0.19711352
97,2,0.09423268,0.56108771,0.34467961
97,0,0.00000000,0.00000000,1.00000000
98,1,0.62262234,0.16244982,0.21492784
98,2,0.09158127,0.54827042,0.36014831
98,0,0.00000000,0.00000000,1.00000000
99,1,0.60271214,0.16340469,0.23388316
99,2,0.08890995,0.53517704,0.37591301
99,0,0.00000000,0.00000000,1.00000000
