age,health,Health1,Health2,Health3,Death
50,1,0.80642974,0.17623210,0.01642967,0.00090849
50,2,0.15762757,0.74344122,0.09518848,0.00374274
50,3,0.01855698,0.12873296,0.83630426,0.01640579
50,0,0.00000000,0.00000000,0.00000000,1.00000000
51,1,0.80250096,0.17898833,0.01748999,0.00102072
51,2,0.15705329,0.74075873,0.09815262,0.00403536
51,3,0.01891687,0.12776148,0.83589024,0.01743142
51,0,0.00000000,0.00000000,0.00000000,1.00000000
52,1,0.79847579,0.18176136,0.01861605,0.00114680
52,2,0.15646117,0.73799190,0.10119617,0.00435076
52,3,0.01928221,0.12678732,0.83541051,0.01851996
52,0,0.00000000,0.00000000,0.00000000,1.00000000
53,1,0.79435054,0.18454942,0.01981161,0.00128843
53,2,0.15585069,0.73513829,0.10432031,0.00469070
53,3,0.01965297,0.12581015,0.83486177,0.01967511
53,0,0.00000000,0.00000000,0.00000000,1.00000000
54,1,0.79012132,0.18735053,0.02108061,0.00144753
54,2,0.15522134,0.73219542,0.10752618,0.00505705
54,3,0.02002912,0.12482960,0.83424050,0.02090078
54,0,0.00000000,0.00000000,0.00000000,1.00000000
55,1,0.78578403,0.19016256,0.02242717,0.00162624
55,2,0.15457257,0.72916074,0.11081482,0.00545187
55,3,0.02041059,0.12384531,0.83354303,0.02220108
55,0,0.00000000,0.00000000,0.00000000,1.00000000
56,1,0.78133430,0.19298314,0.02385558,0.00182698
56,2,0.15390382,0.72603163,0.11418722,0.00587733
56,3,0.02079730,0.12285688,0.83276550,0.02358032
56,0,0.00000000,0.00000000,0.00000000,1.00000000
57,1,0.77676753,0.19580970,0.02537032,0.00205244
57,2,0.15321454,0.72280543,0.11764425,0.00633578
57,3,0.02118919,0.12186391,0.83190386,0.02504305
57,0,0.00000000,0.00000000,0.00000000,1.00000000
58,1,0.77207885,0.19863943,0.02697605,0.00230567
58,2,0.15250415,0.71947939,0.12118672,0.00682974
58,3,0.02158614,0.12086598,0.83095384,0.02659405
58,0,0.00000000,0.00000000,0.00000000,1.00000000
59,1,0.76726309,0.20146925,0.02867760,0.00259005
59,2,0.15177205,0.71605072,0.12481530,0.00736193
59,3,0.02198804,0.11986266,0.82991099,0.02823832
59,0,0.00000000,0.00000000,0.00000000,1.00000000
60,1,0.76231479,0.20429582,0.03047998,0.00290941
60,2,0.15101765,0.71251655,0.12853055,0.00793526
60,3,0.02239475,0.11885350,0.82877063,0.02998112
60,0,0.00000000,0.00000000,0.00000000,1.00000000
61,1,0.75722815,0.20711548,0.03238835,0.00326802
61,2,0.15024031,0.70887395,0.13233288,0.00855285
61,3,0.02280612,0.11783803,0.82752789,0.03182797
61,0,0.00000000,0.00000000,0.00000000,1.00000000
62,1,0.75199704,0.20992424,0.03440805,0.00367067
62,2,0.14943942,0.70511993,0.13622259,0.00921807
62,3,0.02322197,0.11681577,0.82617765,0.03378461
62,0,0.00000000,0.00000000,0.00000000,1.00000000
63,1,0.74661496,0.21271779,0.03654453,0.00412272
63,2,0.14861432,0.70125142,0.14019975,0.00993450
63,3,0.02364210,0.11578623,0.82471457,0.03585709
63,0,0.00000000,0.00000000,0.00000000,1.00000000
64,1,0.74107502,0.21549141,0.03880339,0.00463018
64,2,0.14776436,0.69726531,0.14426432,0.01070601
64,3,0.02406630,0.11474890,0.82313310,0.03805170
64,0,0.00000000,0.00000000,0.00000000,1.00000000
65,1,0.73536992,0.21823998,0.04119032,0.00519978
65,2,0.14688885,0.69315840,0.14841600,0.01153674
65,3,0.02449432,0.11370325,0.82142743,0.04037499
65,0,0.00000000,0.00000000,0.00000000,1.00000000
66,1,0.72949193,0.22095794,0.04371109,0.00583904
66,2,0.14598712,0.68892744,0.15265431,0.01243112
66,3,0.02492588,0.11264875,0.81959154,0.04283383
66,0,0.00000000,0.00000000,0.00000000,1.00000000
67,1,0.72343287,0.22363925,0.04637150,0.00655637
67,2,0.14505847,0.68456910,0.15697853,0.01339390
67,3,0.02536069,0.11158483,0.81761916,0.04543532
67,0,0.00000000,0.00000000,0.00000000,1.00000000
68,1,0.71718409,0.22627736,0.04917738,0.00736118
68,2,0.14410217,0.68008001,0.16138766,0.01443015
68,3,0.02579840,0.11051095,0.81550380,0.04818685
68,0,0.00000000,0.00000000,0.00000000,1.00000000
69,1,0.71073640,0.22886516,0.05213449,0.00826395
69,2,0.14311751,0.67545672,0.16588045,0.01554532
69,3,0.02623867,0.10942652,0.81323872,0.05109610
69,0,0.00000000,0.00000000,0.00000000,1.00000000
70,1,0.70408014,0.23139495,0.05524849,0.00927641
70,2,0.14210374,0.67069573,0.17045533,0.01674520
70,3,0.02668108,0.10833096,0.81081697,0.05417099
70,0,0.00000000,0.00000000,0.00000000,1.00000000
71,1,0.69720508,0.23385841,0.05852490,0.01041161
71,2,0.14106011,0.66579349,0.17511041,0.01803599
71,3,0.02712521,0.10722368,0.80823139,0.05741973
71,0,0.00000000,0.00000000,0.00000000,1.00000000
72,1,0.69010043,0.23624652,0.06196897,0.01168408
72,2,0.13998587,0.66074638,0.17984343,0.01942432
72,3,0.02757060,0.10610407,0.80547457,0.06085076
72,0,0.00000000,0.00000000,0.00000000,1.00000000
73,1,0.68275484,0.23854953,0.06558561,0.01311002
73,2,0.13888023,0.65555076,0.18465177,0.02091724
73,3,0.02801672,0.10497153,0.80253895,0.06447279
73,0,0.00000000,0.00000000,0.00000000,1.00000000
74,1,0.67515637,0.24075694,0.06937931,0.01470738
74,2,0.13774243,0.65020291,0.18953238,0.02252227
74,3,0.02846304,0.10382546,0.79941676,0.06829474
74,0,0.00000000,0.00000000,0.00000000,1.00000000
75,1,0.66729250,0.24285740,0.07335397,0.01649612
75,2,0.13657167,0.64469912,0.19448180,0.02424741
75,3,0.02890897,0.10266525,0.79610004,0.07232574
75,0,0.00000000,0.00000000,0.00000000,1.00000000
76,1,0.65915013,0.24483872,0.07751282,0.01849833
76,2,0.13536717,0.63903562,0.19949605,0.02610116
76,3,0.02935387,0.10149031,0.79258073,0.07657510
76,0,0.00000000,0.00000000,0.00000000,1.00000000
77,1,0.65071559,0.24668778,0.08185820,0.02073843
77,2,0.13412812,0.63320863,0.20457070,0.02809255
77,3,0.02979706,0.10030002,0.78885060,0.08105232
77,0,0.00000000,0.00000000,0.00000000,1.00000000
78,1,0.64197468,0.24839051,0.08639144,0.02324337
78,2,0.13285372,0.62721438,0.20970075,0.03023115
78,3,0.03023783,0.09909382,0.78490136,0.08576699
78,0,0.00000000,0.00000000,0.00000000,1.00000000
79,1,0.63291272,0.24993184,0.09111260,0.02604284
79,2,0.13154319,0.62104907,0.21488062,0.03252712
79,3,0.03067541,0.09787113,0.78072463,0.09072884
79,0,0.00000000,0.00000000,0.00000000,1.00000000
80,1,0.62351460,0.25129570,0.09602029,0.02916941
80,2,0.13019572,0.61470896,0.22010416,0.03499116
80,3,0.03110897,0.09663139,0.77631203,0.09594761
80,0,0.00000000,0.00000000,0.00000000,1.00000000
81,1,0.61376486,0.25246496,0.10111143,0.03265875
81,2,0.12881053,0.60819032,0.22536454,0.03763461
81,3,0.03153766,0.09537409,0.77165517,0.10143308
81,0,0.00000000,0.00000000,0.00000000,1.00000000
82,1,0.60364784,0.25342147,0.10638090,0.03654978
82,2,0.12738686,0.60148950,0.23065426,0.04046938
82,3,0.03196056,0.09409872,0.76674573,0.10719499
82,0,0.00000000,0.00000000,0.00000000,1.00000000
83,1,0.59314780,0.25414604,0.11182135,0.04088481
83,2,0.12592395,0.59460290,0.23596513,0.04350802
83,3,0.03237672,0.09280482,0.76157551,0.11324294
83,0,0.00000000,0.00000000,0.00000000,1.00000000
84,1,0.58224911,0.25461848,0.11742281,0.04570960
84,2,0.12442107,0.58752706,0.24128818,0.04676370
84,3,0.03278514,0.09149197,0.75613647,0.11958642
84,0,0.00000000,0.00000000,0.00000000,1.00000000
85,1,0.57093652,0.25481769,0.12317236,0.05107344
85,2,0.12287750,0.58025864,0.24661367,0.05025020
85,3,0.03318475,0.09015978,0.75042081,0.12623466
85,0,0.00000000,0.00000000,0.00000000,1.00000000
86,1,0.55919538,0.25472172,0.12905381,0.05702909
86,2,0.12129259,0.57279445,0.25193105,0.05398191
86,3,0.03357447,0.08880795,0.74442101,0.13319657
86,0,0.00000000,0.00000000,0.00000000,1.00000000
87,1,0.54701205,0.25430797,0.13504731,0.06363266
87,2,0.11966571,0.56513152,0.25722892,0.05797384
87,3,0.03395316,0.08743619,0.73812993,0.14048071
87,0,0.00000000,0.00000000,0.00000000,1.00000000
88,1,0.53437429,0.25355332,0.14112905,0.07094335
88,2,0.11799629,0.55726714,0.26249501,0.06224155
88,3,0.03431965,0.08604433,0.73154088,0.14809514
88,0,0.00000000,0.00000000,0.00000000,1.00000000
89,1,0.52127168,0.25243440,0.14727085,0.07902308
89,2,0.11628382,0.54919886,0.26771618,0.06680115
89,3,0.03467273,0.08463223,0.72464768,0.15604736
89,0,0.00000000,0.00000000,0.00000000,1.00000000
90,1,0.50769623,0.25092793,0.15343993,0.08793590
90,2,0.11452784,0.54092458,0.27287834,0.07166923
90,3,0.03501116,0.08319985,0.71744477,0.16434422
90,0,0.00000000,0.00000000,0.00000000,1.00000000
91,1,0.49364297,0.24901109,0.15959865,0.09774729
91,2,0.11272802,0.53244259,0.27796653,0.07686286
91,3,0.03533367,0.08174725,0.70992729,0.17299178
91,0,0.00000000,0.00000000,0.00000000,1.00000000
92,1,0.47911059,0.24666196,0.16570433,0.10852312
92,2,0.11088408,0.52375164,0.28296484,0.08239944
92,3,0.03563898,0.08027458,0.70209117,0.18199527
92,0,0.00000000,0.00000000,0.00000000,1.00000000
93,1,0.46410224,0.24386009,0.17170919,0.12032847
93,2,0.10899588,0.51485097,0.28785646,0.08829669
93,3,0.03592579,0.07878207,0.69393321,0.19135893
93,0,0.00000000,0.00000000,0.00000000,1.00000000
94,1,0.44862625,0.24058714,0.17756050,0.13322611
94,2,0.10706337,0.50574043,0.29262370,0.09457250
94,3,0.03619279,0.07727010,0.68545119,0.20108591
94,0,0.00000000,0.00000000,0.00000000,1.00000000
95,1,0.43269693,0.23682754,0.18320077,0.14727476
95,2,0.10508668,0.49642051,0.29724797,0.10124483
95,3,0.03643868,0.07573914,0.67664397,0.21117821
95,0,0.00000000,0.00000000,0.00000000,1.00000000
96,1,0.41633538,0.23256929,0.18856827,0.16252706
96,2,0.10306607,0.48689243,0.30170991,0.10833159
96,3,0.03666216,0.07418979,0.66751153,0.22163652
96,0,0.00000000,0.00000000,0.00000000,1.00000000
97,1,0.39957021,0.22780478,0.19359771,0.17902730
97,2,0.10100196,0.47715822,0.30598936,0.11585046
97,3,0.03686196,0.07262278,0.65805514,0.23246012
97,0,0.00000000,0.00000000,0.00000000,1.00000000
98,1,0.38243817,0.22253157,0.19822122,0.19680904
98,2,0.09889499,0.46722079,0.31006549,0.12381872
98,3,0.03703684,0.07103897,0.64827736,0.24364684
98,0,0.00000000,0.00000000,0.00000000,1.00000000
99,1,0.36498464,0.21675326,0.20236962,0.21589248
99,2,0.09674598,0.45708405,0.31391691,0.13225306
99,3,0.03718558,0.06943935,0.63818216,0.25519290
99,0,0.00000000,0.00000000,0.00000000,1.00000000
