age,health,Health1,Health2,Health3,Death
50,1,0.90031917,0.09379473,0.00535459,0.00053151
50,2,0.18705004,0.70221408,0.10971601,0.00101986
50,3,0.02037216,0.14256839,0.82639452,0.01066493
50,0,0.00000000,0.00000000,0.00000000,1.00000000
51,1,0.89763270,0.09601537,0.00575293,0.00059900
51,2,0.18560767,0.70176457,0.11148188,0.00114589
51,3,0.02048699,0.14174294,0.82624107,0.01152900
51,0,0.00000000,0.00000000,0.00000000,1.00000000
52,1,0.89486578,0.09827887,0.00618030,0.00067505
52,2,0.18416621,0.70127644,0.11326988,0.00128747
52,3,0.02060091,0.14091162,0.82602526,0.01246220
52,0,0.00000000,0.00000000,0.00000000,1.00000000
53,1,0.89201519,0.10058534,0.00663872,0.00076075
53,2,0.18272538,0.70074818,0.11507991,0.00144652
53,3,0.02071379,0.14007381,0.82574249,0.01346991
53,0,0.00000000,0.00000000,0.00000000,1.00000000
54,1,0.88907750,0.10293480,0.00713038,0.00085732
54,2,0.18128490,0.70017809,0.11691182,0.00162519
54,3,0.02082547,0.13922884,0.82538780,0.01455790
54,0,0.00000000,0.00000000,0.00000000,1.00000000
55,1,0.88604908,0.10532720,0.00765758,0.00096614
55,2,0.17984442,0.69956431,0.11876539,0.00182588
55,3,0.02093578,0.13837598,0.82495587,0.01573237
55,0,0.00000000,0.00000000,0.00000000,1.00000000
56,1,0.88292606,0.10776241,0.00822278,0.00108876
56,2,0.17840356,0.69890477,0.12064035,0.00205131
56,3,0.02104456,0.13751447,0.82444102,0.01699995
56,0,0.00000000,0.00000000,0.00000000,1.00000000
57,1,0.87970432,0.11024016,0.00882860,0.00122691
57,2,0.17696192,0.69819719,0.12253638,0.00230451
57,3,0.02115161,0.13664351,0.82383712,0.01836776
57,0,0.00000000,0.00000000,0.00000000,1.00000000
58,1,0.87637950,0.11276011,0.00947781,0.00138258
58,2,0.17551902,0.69743904,0.12445306,0.00258888
58,3,0.02125672,0.13576222,0.82313765,0.01984340
58,0,0.00000000,0.00000000,0.00000000,1.00000000
59,1,0.87294691,0.11532177,0.01017336,0.00155796
59,2,0.17407435,0.69662754,0.12638988,0.00290824
59,3,0.02135968,0.13486970,0.82233561,0.02143500
59,0,0.00000000,0.00000000,0.00000000,1.00000000
60,1,0.86940157,0.11792451,0.01091837,0.00175556
60,2,0.17262732,0.69575957,0.12834626,0.00326686
60,3,0.02146024,0.13396498,0.82142353,0.02315125
60,0,0.00000000,0.00000000,0.00000000,1.00000000
61,1,0.86573817,0.12056753,0.01171614,0.00197816
61,2,0.17117730,0.69483169,0.13032147,0.00366954
61,3,0.02155814,0.13304702,0.82039343,0.02500140
61,0,0.00000000,0.00000000,0.00000000,1.00000000
62,1,0.86195100,0.12324990,0.01257017,0.00222893
62,2,0.16972356,0.69384008,0.13231470,0.00412165
62,3,0.02165312,0.13211474,0.81923682,0.02699533
62,0,0.00000000,0.00000000,0.00000000,1.00000000
63,1,0.85803400,0.12597044,0.01348416,0.00251140
63,2,0.16826532,0.69278050,0.13432496,0.00462921
63,3,0.02174486,0.13116699,0.81794463,0.02914352
63,0,0.00000000,0.00000000,0.00000000,1.00000000
64,1,0.85398063,0.12872780,0.01446199,0.00282958
64,2,0.16680169,0.69164825,0.13635112,0.00519894
64,3,0.02183306,0.13020256,0.81650726,0.03145713
64,0,0.00000000,0.00000000,0.00000000,1.00000000
65,1,0.84978393,0.13152037,0.01550777,0.00318793
65,2,0.16533169,0.69043807,0.13839185,0.00583838
65,3,0.02191737,0.12922018,0.81491448,0.03394798
65,0,0.00000000,0.00000000,0.00000000,1.00000000
66,1,0.84543642,0.13434627,0.01662579,0.00359151
66,2,0.16385424,0.68914418,0.14044563,0.00655595
66,3,0.02199742,0.12821851,0.81315546,0.03662861
66,0,0.00000000,0.00000000,0.00000000,1.00000000
67,1,0.84093009,0.13720336,0.01782059,0.00404597
67,2,0.16236813,0.68776011,0.14251070,0.00736106
67,3,0.02207282,0.12719615,0.81121878,0.03951225
67,0,0.00000000,0.00000000,0.00000000,1.00000000
68,1,0.83625633,0.14008913,0.01909687,0.00455767
68,2,0.16087202,0.68627871,0.14458504,0.00826422
68,3,0.02214317,0.12615163,0.80909233,0.04261287
68,0,0.00000000,0.00000000,0.00000000,1.00000000
69,1,0.83140592,0.14300075,0.02045958,0.00513375
69,2,0.15936446,0.68469203,0.14666635,0.00927716
69,3,0.02220801,0.12508344,0.80676339,0.04594517
69,0,0.00000000,0.00000000,0.00000000,1.00000000
70,1,0.82636897,0.14593497,0.02191383,0.00578223
70,2,0.15784381,0.68299127,0.14875196,0.01041295
70,3,0.02226688,0.12398997,0.80421858,0.04952456
70,0,0.00000000,0.00000000,0.00000000,1.00000000
71,1,0.82113486,0.14888811,0.02346494,0.00651209
71,2,0.15630829,0.68116668,0.15083888,0.01168615
71,3,0.02231928,0.12286959,0.80144391,0.05336722
71,0,0.00000000,0.00000000,0.00000000,1.00000000
72,1,0.81569219,0.15185602,0.02511840,0.00733339
72,2,0.15475592,0.67920745,0.15292367,0.01311296
72,3,0.02236469,0.12172060,0.79842472,0.05748999
72,0,0.00000000,0.00000000,0.00000000,1.00000000
73,1,0.81002875,0.15483399,0.02687985,0.00825741
73,2,0.15318453,0.67710166,0.15500242,0.01471139
73,3,0.02240255,0.12054125,0.79514577,0.06191043
73,0,0.00000000,0.00000000,0.00000000,1.00000000
74,1,0.80413143,0.15781675,0.02875505,0.00929677
74,2,0.15159175,0.67483612,0.15707074,0.01650140
74,3,0.02243228,0.11932976,0.79159123,0.06664673
74,0,0.00000000,0.00000000,0.00000000,1.00000000
75,1,0.79798621,0.16079836,0.03074987,0.01046557
75,2,0.14997496,0.67239630,0.15912361,0.01850512
75,3,0.02245328,0.11808429,0.78774476,0.07171767
75,0,0.00000000,0.00000000,0.00000000,1.00000000
76,1,0.79157805,0.16377218,0.03287020,0.01177957
76,2,0.14833133,0.66976623,0.16115542,0.02074702
76,3,0.02246491,0.11680302,0.78358953,0.07714254
76,0,0.00000000,0.00000000,0.00000000,1.00000000
77,1,0.78489091,0.16673081,0.03512195,0.01325634
77,2,0.14665776,0.66692835,0.16315982,0.02325408
77,3,0.02246651,0.11548408,0.77910831,0.08294111
