age,health,Health1,Health2,Health3,Death
50,1,0.80017187,0.17715374,0.02040518,0.00226921
50,2,0.16533002,0.69077395,0.14042697,0.00346906
50,3,0.03348242,0.13412177,0.80864214,0.02375366
50,0,0.00000000,0.00000000,0.00000000,1.00000000
51,1,0.79808952,0.17763755,0.02178980,0.00248313
51,2,0.16480031,0.68909106,0.14226348,0.00384515
51,3,0.03389913,0.13288563,0.80796666,0.02524859
51,0,0.00000000,0.00000000,0.00000000,1.00000000
52,1,0.79591618,0.17810110,0.02326555,0.00271717
52,2,0.16426068,0.68736367,0.14411383,0.00426182
52,3,0.03431719,0.13164618,0.80720162,0.02683501
52,0,0.00000000,0.00000000,0.00000000,1.00000000
53,1,0.79364602,0.17854275,0.02483803,0.00297320
53,2,0.16371046,0.68558887,0.14597722,0.00472344
53,3,0.03473632,0.13040296,0.80634252,0.02851820
53,0,0.00000000,0.00000000,0.00000000,1.00000000
54,1,0.79127286,0.17896074,0.02651312,0.00325327
54,2,0.16314892,0.68376350,0.14785278,0.00523479
54,3,0.03515622,0.12915550,0.80538462,0.03030367
54,0,0.00000000,0.00000000,0.00000000,1.00000000
55,1,0.78879017,0.17935319,0.02829700,0.00355964
55,2,0.16257526,0.68188405,0.14973950,0.00580119
55,3,0.03557655,0.12790328,0.80432295,0.03219722
55,0,0.00000000,0.00000000,0.00000000,1.00000000
56,1,0.78619103,0.17971810,0.03019614,0.00389474
56,2,0.16198860,0.67994671,0.15163623,0.00642846
56,3,0.03599696,0.12664580,0.80315231,0.03420492
56,0,0.00000000,0.00000000,0.00000000,1.00000000
57,1,0.78346813,0.18005334,0.03221729,0.00426125
57,2,0.16138796,0.67794728,0.15354168,0.00712308
57,3,0.03641707,0.12538254,0.80186728,0.03633311
57,0,0.00000000,0.00000000,0.00000000,1.00000000
58,1,0.78061374,0.18035664,0.03436752,0.00466209
58,2,0.16077229,0.67588118,0.15545438,0.00789215
58,3,0.03683646,0.12411293,0.80046218,0.03858842
58,0,0.00000000,0.00000000,0.00000000,1.00000000
59,1,0.77761975,0.18062562,0.03665419,0.00510045
59,2,0.16014042,0.67374335,0.15737269,0.00874354
59,3,0.03725469,0.12283644,0.79893109,0.04097778
59,0,0.00000000,0.00000000,0.00000000,1.00000000
60,1,0.77447756,0.18085771,0.03908494,0.00557979
60,2,0.15949109,0.67152830,0.15929475,0.00968587
60,3,0.03767129,0.12155247,0.79726785,0.04350839
60,0,0.00000000,0.00000000,0.00000000,1.00000000
61,1,0.77117818,0.18105021,0.04166772,0.00610390
61,2,0.15882290,0.66922998,0.16121847,0.01072866
61,3,0.03808575,0.12026046,0.79546605,0.04618775
61,0,0.00000000,0.00000000,0.00000000,1.00000000
62,1,0.76771212,0.18120026,0.04441071,0.00667691
62,2,0.15813434,0.66684179,0.16314150,0.01188237
62,3,0.03849752,0.11895980,0.79351903,0.04902365
62,0,0.00000000,0.00000000,0.00000000,1.00000000
63,1,0.76406948,0.18130483,0.04732237,0.00730332
63,2,0.15742374,0.66435653,0.16506125,0.01315849
63,3,0.03890603,0.11764989,0.79141990,0.05202418
63,0,0.00000000,0.00000000,0.00000000,1.00000000
64,1,0.76023985,0.18136074,0.05041139,0.00798802
64,2,0.15668928,0.66176631,0.16697476,0.01456965
64,3,0.03931067,0.11633010,0.78916152,0.05519770
64,0,0.00000000,0.00000000,0.00000000,1.00000000
