age,health,Health1,Health2,Health3,Death
50,1,0.88474873,0.10378818,0.01058484,0.00087825
50,2,0.18735384,0.70850503,0.10154733,0.00259380
50,3,0.02255688,0.15870175,0.79775017,0.02099120
50,0,0.00000000,0.00000000,0.00000000,1.00000000
51,1,0.88201073,0.10588598,0.01111711,0.00098618
51,2,0.18581361,0.70747085,0.10385389,0.00286166
51,3,0.02262065,0.15759681,0.79734530,0.02243724
51,0,0.00000000,0.00000000,0.00000000,1.00000000
52,1,0.87920122,0.10801636,0.01167508,0.00110735
52,2,0.18426863,0.70637147,0.10620282,0.00315708
52,3,0.02268216,0.15648269,0.79685470,0.02398045
52,0,0.00000000,0.00000000,0.00000000,1.00000000
53,1,0.87631757,0.11017915,0.01225989,0.00124339
53,2,0.18271852,0.70520440,0.10859418,0.00348289
53,3,0.02274123,0.15535863,0.79627311,0.02562702
53,0,0.00000000,0.00000000,0.00000000,1.00000000
54,1,0.87335702,0.11237414,0.01287273,0.00139612
54,2,0.18116285,0.70396696,0.11102799,0.00384220
54,3,0.02279768,0.15422385,0.79559499,0.02738347
54,0,0.00000000,0.00000000,0.00000000,1.00000000
55,1,0.87031660,0.11460102,0.01351480,0.00156758
55,2,0.17960114,0.70265627,0.11350416,0.00423842
55,3,0.02285130,0.15307753,0.79481447,0.02925670
55,0,0.00000000,0.00000000,0.00000000,1.00000000
56,1,0.86719316,0.11685942,0.01418736,0.00176006
56,2,0.17803290,0.70126926,0.11602253,0.00467531
56,3,0.02290190,0.15191880,0.79392535,0.03125395
56,0,0.00000000,0.00000000,0.00000000,1.00000000
57,1,0.86398330,0.11914886,0.01489171,0.00197613
57,2,0.17645758,0.69980261,0.11858281,0.00515700
57,3,0.02294925,0.15074677,0.79292112,0.03338285
57,0,0.00000000,0.00000000,0.00000000,1.00000000
58,1,0.86068339,0.12146876,0.01562918,0.00221866
58,2,0.17487460,0.69825275,0.12118462,0.00568803
58,3,0.02299312,0.14956051,0.79179494,0.03565144
58,0,0.00000000,0.00000000,0.00000000,1.00000000
59,1,0.85728952,0.12381845,0.01640114,0.00249089
59,2,0.17328331,0.69661586,0.12382743,0.00627340
59,3,0.02303326,0.14835904,0.79053959,0.03806811
59,0,0.00000000,0.00000000,0.00000000,1.00000000
60,1,0.85379750,0.12619710,0.01720897,0.00279643
60,2,0.17168302,0.69488780,0.12651058,0.00691859
60,3,0.02306942,0.14714136,0.78914752,0.04064170
60,0,0.00000000,0.00000000,0.00000000,1.00000000
61,1,0.85020280,0.12860377,0.01805411,0.00313932
61,2,0.17007301,0.69306412,0.12923324,0.00762963
61,3,0.02310132,0.14590643,0.78761083,0.04338143
61,0,0.00000000,0.00000000,0.00000000,1.00000000
62,1,0.84650054,0.13103734,0.01893801,0.00352411
62,2,0.16845244,0.69114002,0.13199441,0.00841312
62,3,0.02312867,0.14465316,0.78592123,0.04629694
62,0,0.00000000,0.00000000,0.00000000,1.00000000
63,1,0.84268544,0.13349653,0.01986214,0.00395588
63,2,0.16682047,0.68911034,0.13479287,0.00927632
63,3,0.02315118,0.14338046,0.78407009,0.04939827
63,0,0.00000000,0.00000000,0.00000000,1.00000000
64,1,0.83875181,0.13597987,0.02082800,0.00444032
64,2,0.16517614,0.68696949,0.13762720,0.01022717
64,3,0.02316853,0.14208719,0.78204841,0.05269587
64,0,0.00000000,0.00000000,0.00000000,1.00000000
65,1,0.83469347,0.13848566,0.02183709,0.00498378
65,2,0.16351845,0.68471146,0.14049571,0.01127438
65,3,0.02318040,0.14077216,0.77984685,0.05620059
65,0,0.00000000,0.00000000,0.00000000,1.00000000
66,1,0.83050373,0.14101199,0.02289090,0.00559338
66,2,0.16184630,0.68232976,0.14339647,0.01242747
66,3,0.02318643,0.13943419,0.77745572,0.05992366
66,0,0.00000000,0.00000000,0.00000000,1.00000000
67,1,0.82617533,0.14355666,0.02399093,0.00627708
67,2,0.16015852,0.67981742,0.14632721,0.01369685
67,3,0.02318627,0.13807207,0.77486499,0.06387667
67,0,0.00000000,0.00000000,0.00000000,1.00000000
68,1,0.82170042,0.14611718,0.02513865,0.00704376
68,2,0.15845385,0.67716689,0.14928535,0.01509392
68,3,0.02317955,0.13668456,0.77206432,0.06807158
68,0,0.00000000,0.00000000,0.00000000,1.00000000
69,1,0.81707044,0.14869074,0.02633549,0.00790333
69,2,0.15673092,0.67437009,0.15226792,0.01663108
69,3,0.02316588,0.13527042,0.76904308,0.07252062
69,0,0.00000000,0.00000000,0.00000000,1.00000000
70,1,0.81227612,0.15127417,0.02758285,0.00886686
70,2,0.15498827,0.67141829,0.15527157,0.01832187
70,3,0.02314486,0.13382839,0.76579039,0.07723636
70,0,0.00000000,0.00000000,0.00000000,1.00000000
71,1,0.80730739,0.15386388,0.02888205,0.00994668
71,2,0.15322436,0.66830213,0.15829248,0.02018103
71,3,0.02311610,0.13235722,0.76229513,0.08223155
71,0,0.00000000,0.00000000,0.00000000,1.00000000
72,1,0.80215332,0.15645584,0.03023430,0.01115653
72,2,0.15143752,0.66501157,0.16132635,0.02222457
72,3,0.02307915,0.13085569,0.75854600,0.08751915
72,0,0.00000000,0.00000000,0.00000000,1.00000000
73,1,0.79680205,0.15904554,0.03164074,0.01251167
73,2,0.14962596,0.66153584,0.16436833,0.02446987
73,3,0.02303361,0.12932255,0.75453157,0.09311227
73,0,0.00000000,0.00000000,0.00000000,1.00000000
74,1,0.79124070,0.16162790,0.03310231,0.01402908
74,2,0.14778781,0.65786343,0.16741300,0.02693576
74,3,0.02297903,0.12775663,0.75024031,0.09902403
74,0,0.00000000,0.00000000,0.00000000,1.00000000
75,1,0.78545534,0.16419725,0.03461981,0.01572760
75,2,0.14592107,0.65398205,0.17045428,0.02964260
75,3,0.02291496,0.12615675,0.74566072,0.10526757
75,0,0.00000000,0.00000000,0.00000000,1.00000000
76,1,0.77943088,0.16674723,0.03619382,0.01762807
76,2,0.14402362,0.64987862,0.17348543,0.03261233
76,3,0.02284097,0.12452181,0.74078133,0.11185590
76,0,0.00000000,0.00000000,0.00000000,1.00000000
77,1,0.77315100,0.16927079,0.03782463,0.01975359
77,2,0.14209324,0.64553924,0.17649892,0.03586859
77,3,0.02275660,0.12285076,0.73559082,0.11880182
77,0,0.00000000,0.00000000,0.00000000,1.00000000
78,1,0.76659812,0.17176003,0.03951224,0.02212961
78,2,0.14012761,0.64094921,0.17948646,0.03943672
78,3,0.02266142,0.12114265,0.73007813,0.12611780
78,0,0.00000000,0.00000000,0.00000000,1.00000000
79,1,0.75975331,0.17420620,0.04125628,0.02478421
79,2,0.13812427,0.63609301,0.18243886,0.04334385
79,3,0.02255498,0.11939659,0.72423252,0.13381591
79,0,0.00000000,0.00000000,0.00000000,1.00000000
80,1,0.75259626,0.17659960,0.04305594,0.02774821
80,2,0.13608073,0.63095434,0.18534605,0.04761888
80,3,0.02243685,0.11761182,0.71804373,0.14190759
80,0,0.00000000,0.00000000,0.00000000,1.00000000
81,1,0.74510522,0.17892949,0.04490990,0.03105539
81,2,0.13399436,0.62551617,0.18819696,0.05229251
81,3,0.02230662,0.11578770,0.71150207,0.15040361
81,0,0.00000000,0.00000000,0.00000000,1.00000000
82,1,0.73725703,0.18118402,0.04681629,0.03474265
82,2,0.13186252,0.61976076,0.19097952,0.05739720
82,3,0.02216389,0.11392373,0.70459854,0.15931384
82,0,0.00000000,0.00000000,0.00000000,1.00000000
83,1,0.72902713,0.18335018,0.04877253,0.03885016
83,2,0.12968249,0.61366981,0.19368061,0.06296708
83,3,0.02200828,0.11201956,0.69732500,0.16864716
83,0,0.00000000,0.00000000,0.00000000,1.00000000
84,1,0.72038959,0.18541366,0.05077531,0.04342143
84,2,0.12745157,0.60722453,0.19628601,0.06903789
84,3,0.02183944,0.11007504,0.68967430,0.17841122
84,0,0.00000000,0.00000000,0.00000000,1.00000000
85,1,0.71131723,0.18735888,0.05282044,0.04850344
85,2,0.12516706,0.60040579,0.19878041,0.07564675
85,3,0.02165706,0.10809019,0.68164041,0.18861234
85,0,0.00000000,0.00000000,0.00000000,1.00000000
86,1,0.70178176,0.18916888,0.05490278,0.05414658
86,2,0.12282633,0.59319433,0.20114737,0.08283197
86,3,0.02146085,0.10606528,0.67321860,0.19925527
86,0,0.00000000,0.00000000,0.00000000,1.00000000
87,1,0.69175401,0.19082530,0.05701610,0.06040458
87,2,0.12042686,0.58557100,0.20336939,0.09063275
87,3,0.02125058,0.10400078,0.66440558,0.21034307
87,0,0.00000000,0.00000000,0.00000000,1.00000000
88,1,0.68120423,0.19230840,0.05915299,0.06733437
88,2,0.11796627,0.57751700,0.20542792,0.09908880
88,3,0.02102605,0.10189741,0.65519964,0.22187690
88,0,0.00000000,0.00000000,0.00000000,1.00000000
89,1,0.67010246,0.19359708,0.06130475,0.07499571
89,2,0.11544244,0.56901422,0.20730342,0.10823991
89,3,0.02078714,0.09975617,0.64560082,0.23385587
89,0,0.00000000,0.00000000,0.00000000,1.00000000
90,1,0.65841904,0.19466892,0.06346128,0.08345076
90,2,0.11285352,0.56004563,0.20897553,0.11812533
90,3,0.02053377,0.09757831,0.63561103,0.24627689
90,0,0.00000000,0.00000000,0.00000000,1.00000000
91,1,0.64612519,0.19550036,0.06561101,0.09276345
91,2,0.11019802,0.55059567,0.21042312,0.12878319
91,3,0.02026594,0.09536538,0.62523419,0.25913449
91,0,0.00000000,0.00000000,0.00000000,1.00000000
92,1,0.63319377,0.19606686,0.06774078,0.10299859
92,2,0.10747491,0.54065076,0.21162460,0.14024973
92,3,0.01998369,0.09311923,0.61447633,0.27242075
92,0,0.00000000,0.00000000,0.00000000,1.00000000
93,1,0.61960012,0.19634313,0.06983588,0.11422087
93,2,0.10468372,0.53019979,0.21255805,0.15255844
93,3,0.01968718,0.09084198,0.60334571,0.28612513
93,0,0.00000000,0.00000000,0.00000000,1.00000000
94,1,0.60532307,0.19630352,0.07187997,0.12649344
94,2,0.10182458,0.51923471,0.21320156,0.16573915
94,3,0.01937660,0.08853609,0.59185288,0.30023443
94,0,0.00000000,0.00000000,0.00000000,1.00000000
95,1,0.59034599,0.19592243,0.07385516,0.13987642
95,2,0.09889835,0.50775106,0.21353357,0.17981702
95,3,0.01905226,0.08620426,0.58001072,0.31473275
95,0,0.00000000,0.00000000,0.00000000,1.00000000
96,1,0.57465811,0.19517479,0.07574209,0.15442501
96,2,0.09590671,0.49574862,0.21353324,0.19481142
96,3,0.01871453,0.08384954,0.56783451,0.32960142
96,0,0.00000000,0.00000000,0.00000000,1.00000000
97,1,0.55825572,0.19403677,0.07752013,0.17018738
97,2,0.09285225,0.48323195,0.21318090,0.21073491
97,3,0.01836387,0.08147521,0.55534186,0.34481906
97,0,0.00000000,0.00000000,0.00000000,1.00000000
98,1,0.54114358,0.19248638,0.07916758,0.18720245
98,2,0.08973851,0.47021097,0.21245847,0.22759205
98,3,0.01800082,0.07908483,0.54255271,0.36036163
98,0,0.00000000,0.00000000,0.00000000,1.00000000
99,1,0.52333620,0.19050437,0.08066204,0.20549739
99,2,0.08657008,0.45670146,0.21135005,0.24537841
99,3,0.01762602,0.07668221,0.52948927,0.37620251
99,0,0.00000000,0.00000000,0.00000000,1.00000000
